x1,x2,x3,x4,x5,x6,x7,x8
-5203.925786906623,4137.946859021096,-1062.039868122584,961.4766771381816,-6891.173462777501,16318.545825963305,-10330.490210428337,35.07230278860338
-5100.5485544254325,5889.352815658953,-2669.560505356341,3436.196045867512,-9333.791842875858,16816.365473436566,-9982.437119534288,27.277739248242433
-4435.006786756561,6666.024876368956,-5007.268434732109,5580.888934796592,-10376.139245895189,17222.36373217029,-10126.482763139757,30.301928467447986
-3643.2886839460557,6109.679572521254,-5422.759291578546,5613.978633570024,-8669.852819882934,14105.883823162627,-8386.450441873303,28.879558814647325
-1953.9430968390607,3817.7845610397762,-4511.343712917361,4806.026742394994,-5576.499732695744,8838.240725895344,-5490.918935885659,30.88260390589148
-688.290665996669,1637.0551056310194,-3372.3965433763437,5272.862331416444,-5661.22970075078,6894.8437739992405,-4032.85853909569,29.731767083920918
-354.0478346148964,535.333745660572,-2035.5615342667272,5823.817044258134,-8798.88386921024,10663.64126271492,-5771.281340980408,31.59519829914617
-3855.495363654377,5653.669639779824,-5374.961489472149,7220.161197849229,-8071.631039449861,8579.197921230221,-4583.9818894625805,30.32132757315709
-660.2454279415024,-4088.436854437758,6814.706593537378,-4045.622986154202,2168.314580617873,-510.0015514300207,-572.6708309425966,28.50501528612127
6120.815806681392,-22439.520124269286,20295.49309874489,-6130.144024678114,-2995.059278783352,7320.570183633647,-4869.510579726182,32.559255886271174
-4290.407925247087,1551.550390716264,-4108.026228343754,10523.773418243292,-13649.16348206628,16786.252867806656,-9393.086015246372,32.1907935404219
-4404.896769294776,4800.457431683431,-4767.827457021611,7238.112849644504,-9937.648218468043,14207.126722019579,-8306.193964227017,28.605702670023337
-1221.5265040076079,1007.7691115002514,-684.0804418489569,1870.4688094036708,-4623.162976838972,9665.843157179237,-6245.387769538785,27.522067220369607
-1574.268854441316,2830.6605970371916,-3561.5765696818207,4024.5577314731718,-4900.341323170986,8543.848090988884,-5474.127437404771,29.07041207123604
-1034.3129436444387,2191.785781442333,-3996.224112321487,5842.019044981157,-7059.073016480401,10002.377917692571,-5977.746641358784,31.83855331024268
-250.21881887363125,204.04294821324868,-1338.942850874097,3727.644849964907,-5944.502267200874,9156.602341548833,-5544.358292700762,32.874142701799805
-430.389322606293,258.07610319359236,-637.9736094523947,2299.863766320769,-4175.919792476506,7253.891294964352,-4586.667917279727,31.016076243867527
-488.32170529638194,-128.61241674320502,1556.7120835607964,-2343.6646964777174,2673.266589402942,-784.208791763363,-511.25001661846585,27.48217864154498
-1587.2848631174777,2076.299364066295,-7.616269965954546,-4293.8119107284065,12482.072890002944,-18000.09799136141,9250.867415999832,17.33245023164224
-2469.4212062930724,3725.618712876357,-1554.9695249875735,-3350.8383463583937,12099.633039829168,-17603.426796275882,8989.400885294783,18.742082242426115
-2384.576164776372,3050.2999202771944,-671.106926105482,-770.9389850598606,-896.9416389727643,5902.029195725871,-4447.283535812375,32.649733872575865
-299.4803194475789,88.46192677696392,-1033.3536075791915,3638.174582617245,-7730.323028353016,13303.459676796141,-8023.962718113148,27.589339757678033
