x1,x2,x3,x4,x5,x6,x7,x8
2.7213245095958062e-8,8.112584530859692e-8,2.0916697691347334e-7,3.8855876204618324e-7,6.45289312084718e-7,9.342130824346221e-7,1.1012821775321433e-6,5.1023179959272245e-6
8.112584530859692e-8,2.584267714708919e-7,7.021349940715144e-7,1.3434006579020326e-6,2.2781695456011257e-6,3.342447882849926e-6,3.961482204727609e-6,1.9573765161128733e-5
2.0916697691347334e-7,7.021349940715144e-7,2.0053707831940276e-6,3.966033357548452e-6,6.899117182322004e-6,1.0295110209874794e-5,1.2287279282142568e-5,6.61334439166342e-5
3.8855876204618324e-7,1.3434006579020326e-6,3.966033357548452e-6,8.063181322012442e-6,1.4373200823962697e-5,2.182573935564137e-5,2.6242387694447086e-5,0.00015502320589037087
6.45289312084718e-7,2.2781695456011257e-6,6.899117182322004e-6,1.4373200823962697e-5,2.6252133048367925e-5,4.0611883290705147e-5,4.922589052846579e-5,0.0003220503213434202
9.342130824346221e-7,3.342447882849926e-6,1.0295110209874794e-5,2.182573935564137e-5,4.0611883290705147e-5,6.377567176566753e-5,7.782052796049588e-5,0.0005539758571397899
1.1012821775321433e-6,3.961482204727609e-6,1.2287279282142568e-5,2.6242387694447086e-5,4.922589052846579e-5,7.782052796049588e-5,9.524514923096186e-5,0.0007044473540860427
5.1023179959272245e-6,1.9573765161128733e-5,6.61334439166342e-5,0.00015502320589037087,0.0003220503213434202,0.0005539758571397899,0.0007044473540860427,0.008198824081370251
3.5767455714571905e-6,6.7118089420484065e-6,1.2430244164581128e-5,1.927578585110091e-5,2.818837331929474e-5,3.7626447304538436e-5,4.291737619054321e-5,0.00013242918321306426
6.7118089420484065e-6,1.2737177412327842e-5,2.3823914475457326e-5,3.7177663702067955e-5,5.463533825883839e-5,7.317505491854644e-5,8.358435145276833e-5,0.00026360616647200653
1.2430244164581128e-5,2.3823914475457326e-5,4.496730798254151e-5,7.060181847677352e-5,0.00010427109368955937,0.00014014620942948364,0.00016032536024310605,0.000518110851390733
1.927578585110091e-5,3.7177663702067955e-5,7.060181847677352e-5,0.00011136461844242696,0.00016517299043454595,0.0002227298779201058,0.00025517626437367396,0.0008472325844281397
2.818837331929474e-5,5.463533825883839e-5,0.00010427109368955937,0.00016517299043454595,0.0002460745195327757,0.0003330861683173333,0.0003822963585446029,0.0013173158555803617
3.7626447304538436e-5,7.317505491854644e-5,0.00014014620942948364,0.0002227298779201058,0.0003330861683173333,0.00045245278848579564,0.0005202005627824914,0.0018634881084588501
4.291737619054321e-5,8.358435145276833e-5,0.00016032536024310605,0.00025517626437367396,0.0003822963585446029,0.0005202005627824914,0.0005986177629511256,0.002188742146726831
0.00013242918321306426,0.00026360616647200653,0.000518110851390733,0.0008472325844281397,0.0013173158555803617,0.0018634881084588501,0.002188742146726831,0.01284275141221136
2.2240346678018158e-5,3.6032065104289415e-5,5.9003671463963706e-5,8.479801271805183e-5,0.00011694899864077948,0.00014994907541726984,0.0001681277207257337,0.0003923315554758014
3.6032065104289415e-5,5.8736256736682256e-5,9.674259357371419e-5,0.00013958116328640545,0.00019311927660841627,0.0002481764542011233,0.0002785377987388059,0.0006613771772213614
5.9003671463963706e-5,9.674259357371419e-5,0.00016024560021561936,0.00023212732876138421,0.0003222461350031472,0.0004151370811244935,0.00046642856213001085,0.0011300836609770754
