x1,x2,x3,x4
-2877.4576984927035,4578.2598982100035,-2009.5436444188997,12.674099446339168
-2704.1569433052323,4703.767121937903,-2111.6222448507688,11.658893408270314
-2344.569098864054,4295.566574839501,-1996.387240312415,12.936543117510169
-2090.7247105188753,3966.0581458532315,-1886.9820728262855,13.421427194494688
-1656.1001772291504,3422.795009460297,-1724.891348935699,16.845774516939088
-1454.748882228204,3221.8626475097744,-1693.8316406312028,20.373739238724067
-1091.0615540061694,2755.7757774899783,-1551.7248295901627,23.507253822621003
-1564.581941951396,3562.3845136526766,-1907.6300521301646,24.48582650888712
-2077.1892743038266,4548.6271307252455,-2373.7712884779016,22.766173743649425
-3349.665442156664,6568.618043235772,-3195.943410072159,20.959537038329145
-5081.936274219875,8399.130969183467,-3656.6904709374635,17.070643549445123
-4056.983484795452,6836.996220762884,-3001.4136828906426,14.40414375044856
-2929.6779148172022,5251.179328689202,-2403.0335926870416,13.908533242157938
-2357.2905132466854,4447.370929036755,-2111.3245136409473,15.454554372395442
-2024.7380463708314,4004.4898856512605,-1965.2083584875425,17.996686154767104
-1749.3583225179468,3618.404570186109,-1829.3706112288396,19.715017961947385
-1651.5558477644788,3443.3143203485297,-1750.4003379907397,19.207258669384753
-1328.8481945435892,2953.916349723242,-1560.6613389955937,19.65040058287086
-1037.8309261012366,2633.2561793051427,-1493.6155256213044,25.107281795653055
-1089.6874207847047,2729.5988772618825,-1539.1906241690428,24.98360940685474
-1403.4450477498976,3037.6220051375512,-1579.223198366342,16.816221859292742
-2580.1435561659578,4738.501265203007,-2205.7935925600323,13.012920697783768
