x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
5000.0,1.0,0.0,0.813207222938429,171.0,163.0,692.0,763.0,1084.0,1360.0,391.0,376.0
5000.0,1.0,0.0,0.853865468313057,240.0,104.0,548.0,810.0,1123.0,895.0,675.0,605.0
5000.0,1.0,0.0,0.851433725763706,256.0,159.0,651.0,844.0,1162.0,957.0,519.0,452.0
5000.0,1.0,0.0,0.850670554937513,273.0,150.0,715.0,923.0,1190.0,939.0,375.0,435.0
5000.0,1.0,0.0,0.818743881989726,344.0,310.0,812.0,1224.0,1204.0,747.0,166.0,193.0
5000.0,1.0,0.0,0.796560294954426,368.0,367.0,930.0,1466.0,1174.0,427.0,140.0,128.0
5000.0,1.0,0.0,0.792732307825768,389.0,480.0,1152.0,1695.0,889.0,245.0,67.0,83.0
5000.0,1.0,0.0,0.831804465191082,111.0,391.0,1042.0,1836.0,1068.0,380.0,88.0,84.0
5000.0,1.0,0.0,0.889993572107835,68.0,39.0,710.0,1783.0,1576.0,558.0,136.0,130.0
5000.0,1.0,0.0,0.931970525625866,30.0,15.0,132.0,1828.0,1616.0,962.0,252.0,165.0
5000.0,1.0,0.0,0.926323641598699,31.0,44.0,145.0,1064.0,1775.0,1194.0,364.0,383.0
5000.0,1.0,0.0,0.88739025883911,79.0,69.0,218.0,948.0,1549.0,1199.0,407.0,531.0
5000.0,1.0,0.0,0.844646206788515,170.0,89.0,472.0,911.0,1446.0,1057.0,413.0,442.0
5000.0,4.0,0.0,0.826407923984255,237.0,173.0,576.0,1038.0,1452.0,924.0,298.0,302.0
5000.0,4.0,0.0,0.819452738449052,305.0,268.0,719.0,1313.0,1321.0,743.0,163.0,168.0
5000.0,1.0,0.0,0.850768473726244,410.0,307.0,788.0,1530.0,1201.0,519.0,148.0,97.0
5000.0,1.0,0.0,0.92727162724313,410.0,308.0,814.0,1503.0,1176.0,552.0,140.0,97.0
5000.0,1.0,0.0,1.0,419.0,416.0,1054.0,1318.0,1081.0,555.0,65.0,92.0
5000.0,1.0,0.0,1.0,460.0,608.0,1505.0,1260.0,904.0,189.0,43.0,31.0
5000.0,1.0,0.0,1.0,392.0,568.0,1482.0,1276.0,998.0,225.0,36.0,23.0
5000.0,1.0,0.0,1.0,186.0,369.0,929.0,1251.0,1147.0,818.0,153.0,147.0
5000.0,1.0,0.0,0.837261664143672,151.0,103.0,417.0,926.0,1364.0,1051.0,452.0,536.0
