x1,x2,x3,x4,x5,x6,x7,x8
5000.0,1.0,0.0,0.813207222938429,1026.0,763.0,1084.0,2127.0
5000.0,1.0,0.0,0.853865468313057,892.0,810.0,1123.0,2175.0
5000.0,1.0,0.0,0.851433725763706,1066.0,844.0,1162.0,1928.0
5000.0,1.0,0.0,0.850670554937513,1138.0,923.0,1190.0,1749.0
5000.0,1.0,0.0,0.818743881989726,1466.0,1224.0,1204.0,1106.0
5000.0,1.0,0.0,0.796560294954426,1665.0,1466.0,1174.0,695.0
5000.0,1.0,0.0,0.792732307825768,2021.0,1695.0,889.0,395.0
5000.0,1.0,0.0,0.831804465191082,1544.0,1836.0,1068.0,552.0
5000.0,1.0,0.0,0.889993572107835,817.0,1783.0,1576.0,824.0
5000.0,1.0,0.0,0.931970525625866,177.0,1828.0,1616.0,1379.0
5000.0,1.0,0.0,0.926323641598699,220.0,1064.0,1775.0,1941.0
5000.0,1.0,0.0,0.88739025883911,366.0,948.0,1549.0,2137.0
5000.0,1.0,0.0,0.844646206788515,731.0,911.0,1446.0,1912.0
5000.0,4.0,0.0,0.826407923984255,986.0,1038.0,1452.0,1524.0
5000.0,4.0,0.0,0.819452738449052,1292.0,1313.0,1321.0,1074.0
5000.0,1.0,0.0,0.850768473726244,1505.0,1530.0,1201.0,764.0
5000.0,1.0,0.0,0.92727162724313,1532.0,1503.0,1176.0,789.0
5000.0,1.0,0.0,1.0,1889.0,1318.0,1081.0,712.0
5000.0,1.0,0.0,1.0,2573.0,1260.0,904.0,263.0
5000.0,1.0,0.0,1.0,2442.0,1276.0,998.0,284.0
5000.0,1.0,0.0,1.0,1484.0,1251.0,1147.0,1118.0
5000.0,1.0,0.0,0.837261664143672,671.0,926.0,1364.0,2039.0
